関係,かんけい,"관계,관계되다"
家族,かぞく,"가족"
親,おや,"부모"
頼る,たよる,"의지하다"
夫婦,ふうふ,"부부"
平等,びょうどう,"평등"
信じる,しんじる,"믿다"
絶対に,ぜったいに,"절대로,반드시,꼭"
姉妹,しまい,"자매"
親しい,したしい,"친하다"
親戚,しんせき,"친척"
祝う,いわう,"축하하다"
贈る,おくる,"선물하다,선사하다"
集団,しゅうだん,"집단"
個人,こじん,"개인"
他人,たにん,"타인,남,다른 사람"
立場,たちば,"입장,처지,관점"
老人,ろうじん,"노인"
成人,せいじん,"성인"
紹介,しょうかい,"소개,소개하다"
招待,しょうたい,"초대,초대하다"
呼ぶ,よぶ,"부르다,호명하다"
近所,きんじょ,"근처,부근,이웃"
知り合う,しりあう,"서로 알다,아는 사이가 되다"
話し合う,はなしあう,"서로 이야기 나누다"
打つ,うつ,"치다,때리다"
しゃべる,,"말하다,지껄이다,수다를 떨다"
語る,かたる,"이야기하다,말하다"
相手,あいて,"상대방"
関心,かんしん,"관심"
親友,しんゆう,"친한 친구"
一緒に,いっしょに,"함께"
仲間,なかま,"동료,한패,같은 무리"
友情,ゆうじょう,"우정"
不満,ふまん,"불만"
失う,うしなう,"잃다"
仲直り,なかなおり,"화해,화해하다"
互い,たがい,"서로"
おごる,,"한턱내다"
都合,つごう,"사정,형편"
